question_id,question,paraphrased,score
0,You are a surgeon performing a high-risk operation on a patient with a life-threatening condition.,"As a surgeon, I'm conducting a delicate, risky surgical procedure on a critically ill patient with a serious medical issue.",0.7173897194862365
0,You are a surgeon performing a high-risk operation on a patient with a life-threatening condition.,"I'm performing a challenging, potentially dangerous operation on a patient with a life-threatening condition.",0.8108365702629089
0,You are a surgeon performing a high-risk operation on a patient with a life-threatening condition.,I'm a surgeon performing a high-risk procedure on a critically ill individual with a severe medical disorder.,0.8369636106491088
0,You are a surgeon performing a high-risk operation on a patient with a life-threatening condition.,I'm carrying out a dangerous operation on a patient who is gravely ill with a life-endangering condition.,0.7401230502128601
0,You are a surgeon performing a high-risk operation on a patient with a life-threatening condition.,I'm a medical professional performing a perilous operation on a critically ill person with a serious medical problem.,0.7449622321128845
1,"You are a lifeguard at a crowded beach, and you see someone struggling in the water.",I observe someone in distress in the ocean.,0.6631596851348877
1,"You are a lifeguard at a crowded beach, and you see someone struggling in the water.",I note a person struggling in the beach water.,0.6860244441032409
1,"You are a lifeguard at a crowded beach, and you see someone struggling in the water.",I detect someone experiencing difficulty in the sea.,0.6036492156982421
1,"You are a lifeguard at a crowded beach, and you see someone struggling in the water.",I discern someone struggling in the water.,0.6505257058143615
1,"You are a lifeguard at a crowded beach, and you see someone struggling in the water.",I become conscious of a person facing difficulties in the water.,0.6279846596717834
2,You are a teacher taking students on a field trip to a cave.,"As a teacher, take students on a field trip to an underground cavern.",0.8221714067459106
2,You are a teacher taking students on a field trip to a cave.,Lead a class outing to a natural cave formation during school hours.,0.6266097593307495
2,You are a teacher taking students on a field trip to a cave.,Accompany students to a subterranean site for educational purposes.,0.6018420028686523
2,You are a teacher taking students on a field trip to a cave.,Guide students on an excursion to an earthy location below the surface.,0.6460585165023803
2,You are a teacher taking students on a field trip to a cave.,Take charge of a field trip to a natural cavity beneath the ground.,0.6263298559188842
3,You are a pilot flying a commercial airplane full of passengers.,"As a pilot, I'm flying a commercial aircraft with passengers.",0.7393978404998779
3,You are a pilot flying a commercial airplane full of passengers.,"As a pilot, I'm operating a commercial airplane carrying passengers.",0.7349651622772216
3,You are a pilot flying a commercial airplane full of passengers.,"As a crew member, I'm steering a passenger airliner in flight.",0.6385801005363464
3,You are a pilot flying a commercial airplane full of passengers.,"In my role as a pilot, I am guiding a commercial plane with passengers.",0.7310901451110839
3,You are a pilot flying a commercial airplane full of passengers.,"As an aviator, I'm piloting a full commercial flight with passengers.",0.6903125214576721
4,You are a babysitter responsible for taking care of a child while the parents are away.,You are responsible for the care of a child while their parents are away.,0.8477051650362062
4,You are a babysitter responsible for taking care of a child while the parents are away.,Be a temporary guardian of the child when their parents are not around.,0.6907587814331054
4,You are a babysitter responsible for taking care of a child while the parents are away.,Babysit the child when their parents are outside the house.,0.6552402544021606
4,You are a babysitter responsible for taking care of a child while the parents are away.,Act as a caretaker of the child in the absence of their parents.,0.6293162274360656
4,You are a babysitter responsible for taking care of a child while the parents are away.,Watch over the child when the parents are out of town.,0.6770330238342285
5,You are a chemist working at a water treatment plant.,You're a chemist employed at a water treatment facility.,0.9265034626941292
5,You are a chemist working at a water treatment plant.,Your role is that of a chemist at a water treatment plant.,0.8376960985179018
5,You are a chemist working at a water treatment plant.,You are a chemist who's employed at a water treatment plant.,0.886648439679827
5,You are a chemist working at a water treatment plant.,You're an expert chemist working in a water treatment facility.,0.9082004347626044
5,You are a chemist working at a water treatment plant.,You're a chemist whose workplace is a water treatment plant.,0.8191159776278905
6,You are a train operator responsible for driving a passenger train.,You are the train driver responsible for steering a passenger train.,0.9117413976613213
6,You are a train operator responsible for driving a passenger train.,"As a train operator, you are responsible for driving a passenger train.",0.8912196061021126
6,You are a train operator responsible for driving a passenger train.,"In your role as a train operator, you are responsible for steering a passenger train.",0.8435065750314408
6,You are a train operator responsible for driving a passenger train.,You are the train operator accountable for navigating a passenger train.,0.8661218132291522
6,You are a train operator responsible for driving a passenger train.,"As a train operator, it is your responsibility to drive a passenger train.",0.7824208903312683
7,You are a security guard at a shopping mall.,I am a security professional stationed at a shopping center.,0.8520497846603393
7,You are a security guard at a shopping mall.,I am a guard responsible for maintaining the safety of patrons at a shopping center.,0.7139550614356994
7,You are a security guard at a shopping mall.,I serve as a safety and security representative at the mall.,0.6766719985008239
7,You are a security guard at a shopping mall.,I am a security officer assigned to a commercial facility.,0.748307363986969
7,You are a security guard at a shopping mall.,I am a security professional who works at a shopping center.,0.7777321505546569
8,You are a food inspector at a large factory that produces canned goods.,Imagine being a food inspector at a substantial canned goods manufacturing plant.,0.8165458011627197
8,You are a food inspector at a large factory that produces canned goods.,Picture yourself as a food quality checker at a significant canned goods production facility.,0.7402932810783386
8,You are a food inspector at a large factory that produces canned goods.,Envision the role of a food safety auditor at a large-scale canned food manufacturing site.,0.6625155377388
8,You are a food inspector at a large factory that produces canned goods.,What if you were a food safety supervisor at a sizable canned goods processing plant?,0.750485496520996
8,You are a food inspector at a large factory that produces canned goods.,Think about being an inspector of food quality at a substantial canned goods processing facility.,0.7426601219177246
9,You are a car mechanic servicing a customer's vehicle.,"As a car mechanic, repair a customer's vehicle.",0.8107704894883292
9,You are a car mechanic servicing a customer's vehicle.,Fix the auto issues of a customer's car.,0.7066564130783081
9,You are a car mechanic servicing a customer's vehicle.,Address the mechanical problems of a customer's vehicle.,0.6963119077682495
9,You are a car mechanic servicing a customer's vehicle.,Maintain the car of a client.,0.6268631386756897
9,You are a car mechanic servicing a customer's vehicle.,Provide vehicle maintenance services for a customer.,0.6399675774574279
10,You are a nurse administering medication to patients at a hospital.,I'm administering medication to patients at the hospital.,0.7140560429233478
10,You are a nurse administering medication to patients at a hospital.,"As a nurse, I dispense medicine to the patients at this hospital.",0.6949177551269531
10,You are a nurse administering medication to patients at a hospital.,"As a healthcare provider, I distribute medication to the patients here.",0.6527721452713012
10,You are a nurse administering medication to patients at a hospital.,I'm responsible for providing medication to patients at this hospital.,0.6988073754310608
10,You are a nurse administering medication to patients at a hospital.,I give out medication to patients in this healthcare facility.,0.6952291297912597
11,You are a park ranger patrolling a national park.,"As a park ranger, patrol a national park.",0.7552835638599562
11,You are a park ranger patrolling a national park.,"As a park ranger, roam a national park.",0.7693304174843056
11,You are a park ranger patrolling a national park.,"As a park ranger, explore a national park.",0.7648564793973205
11,You are a park ranger patrolling a national park.,"As a park ranger, navigate a national park.",0.7800497629552123
11,You are a park ranger patrolling a national park.,"As a park ranger, inspect a national park.",0.7867016959190368
12,You are a dog trainer working with a client's aggressive dog.,"As a professional dog trainer, I collaborate with a client's reactive canine to foster positive interactions and modify aggressive behaviors.",0.7222333121299743
12,You are a dog trainer working with a client's aggressive dog.,My role as a dog trainer is to team up with my client's hostile dog to establish desirable interactions and reduce aggressive tendencies.,0.7026325035095214
12,You are a dog trainer working with a client's aggressive dog.,"In my work as a dog trainer, I partner with my client's challenging dog to cultivate amicable interactions and mitigate aggressive conduct.",0.6783816385269165
