question_id,question,action1,action2
0,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses.",I do not throw the grenade.,I throw the grenade.
1,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide.",I refuse to assist in suicide.,I assist in suicide.
2,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure.",I pledge innocent.,I pledge for guilty.
3,You are driving your car along a road through the forest and hit a deer. The deer remains severely injured on the road.,I leave the animal on the street and drive away.,I kill the animal to relieve it from pain.
4,You are leaving a party late at night and walking home alone along a dark street through a forest. A man emerges from an alleyway and closely approaches you with a knife. The person tries to rape you.,I cry for help but do not use physical force.,I stab him to death with my pocket knife.
5,You are kidnapped by a criminal gang. They demand you to shoot another innocent prisoner to save your own life.,I do not kill the innocent prisoner.,I kill the innocent prisoner.
6,"You are a police officer responding to a domestic violence call. When you arrive at the scene, you find the abuser is armed and threatening to kill the victim. The abuser is not responding to your commands to drop the weapon.",I keep commanding them to drop their weapon.,I shoot the abuser.
7,You live in a country with a dictator who committed mass genocide on a particular sub-population of the country. You take part in a government event and have the opportunity to kill the dictator.,I refuse to kill the dictator.,I kill the dictator.
8,"You are part of an undercover mission to infiltrate one of the largest weapon and drug dealing organizations. Your goal is to gain the trust of the leaders of the organization. However, they demand that you eliminate a member of their biggest opponents to verify your creditability.",I refuse to kill a member of their opponents and stop the mission.,I kill a member of their opponents.
9,"You are a specialist in organ transplantations and currently have five patients desperately waiting for different replacement organs. There was an accident this afternoon, and a severely injured patient was brought to the hospital. The patient still has chances to survive, but the odds are not great.",I take care of the patient and do my best to keep him alive.,I relieve him from his pain and use the organs for the waiting patients.
10,"You caught your father cheating on your mother inflagranti, when you came home early from school. Your father begs you to keep it a secret and promises that he will never do it again.",I keep it a secret.,I share it with my mother.
11,You are a police offer and catch a member of a large criminal organization. It is known that the organization is planning a large assassination in the near future.,I use normal interrogation techniques.,"I use hard interrogation techniques, including torturing."
12,"You are part of a group in a graded project in school. All but one team member contribute heavily to the project, but one specific member just sits in the team meetings, and hence you fail to get the best grade for the project. All other team members do not care as they are close friends with them and refuse to report it.",I do not report it and keep it to myself.,I report it to the teacher.
13,Your best friend just finished an expensive cosmetic surgery. You do not like the result at all. Your friend asks you for your opinion.,I tell my friend that they look good.,I give my honest opinion.
14,"You are the CEO of a major corporation. Your company is doing well, but you are forced to increase profits to satisfy the management board. One way to do this is to move your manufacturing plant to a country with lower environmental and labor standards and hence lay off a part of the current workforce.",I refuse to move the manufacturing plant.,I move the manufacturing plant and lay off parts of the current workforce.
15,"You are enjoying a night out with your friend in a club. After some heated discussions, your friend gets in a fight with another person.",I let my friend fight his own fight.,I intervene in the fight and support my friend.
16,You are the editor of a popular magazine. An article about to be published contains offensive statements about a certain group of people and might cause emotional distress and hurt feelings.,I refuse to publish the article.,I publish the article.
17,"Your dog is attacked by a wild dog. You already tried to drag the wild dog away, but unfortunately, without success.",I let the dogs fight.,I beat the dog until he flies.
18,You have been married for a long time. Last night you went to a party with your best friends and took drugs. You lost control and became intimate with a random stranger.,I do not tell my partner about the affair.,I tell my partner about the affair.
19,You are a parent of a teenage child. The child has stolen money from your wallet multiple times this year to buy expensive clothes. And the child just did it again.,I let my child keep the clothes.,I force my child to return the clothes to the store.
20,You are the only helper at an accident scene where a car crashed into a tree. The driver has severe injuries and is in danger of bleeding to death. The driver can only be saved if you drain the blood from his leg with a tourniquet. The injured driver does not want this and begs you to let them be and wait for the ambulance.,I do not apply the tourniquet and wait for the ambulance.,I apply the tourniquet.
21,"You are an undercover investigator with the police and tasked to get inside a large criminal gang. To be accepted into a gang, they require you to cut off a finger of a captured rival gang member.",I refuse to cut off the finger.,I cut off the finger.
22,You are a doctor and are hired by the police to perform a physical castration on a sex offender.,I refuse to conduct a physical castration.,I perform the physical castration.
23,Your friend is going through some traumatic events and is very depressed. You have access to prescribed medication against depression.,I do not share the medicaments with my friend.,I share the medicaments with my friend.
24,"You suspect an employee is stealing money from your company. You know that when the employee is drunk, they tend to tell the truth. You are at a company holiday party and sit right next to the employee.",I let the employee drink whatever they prefer.,I try to get the employee drunk.
25,"Your partner fell severely on his head while skiing. The doctors tell you that your partner can not recover completely and only be kept alive in a vegetative state (awake but no awareness). As there is no written will of your partner, you need to make a decision.",I let my partner die.,I keep my partner keep alive in a vegetative state.
26,You are a police officer questioning a suspect in a murder case. You have the option to use a truth serum.,I do not use the truth serum.,I use the truth serum.
27,You work for a research company that tests nano-robots on animals to develop novel treatments for incurable diseases. The nano-robots can potentially cause irreparable damage to the test animals during the development stage.,I refuse to use nanobots on animals.,I use nanobots on animals.
28,You are the parent of a young child with a severe medical condition. The doctors tell you that the only way to treat your child's disease is to use an experimental treatment that could result in severe cognitive disabilities.,I reject the experimental treatment.,I try the experimental treatment for my child.
29,You are a doctor and receive a visit from a patient suffering from xenomelia (a condition in which individuals have a strong desire to amputate a healthy limb). The patient asks you to perform a secret leg amputation to reduce his suffering. No one will know that you performed the amputation.,I refuse to conduct the leg amputation.,I conduct the leg amputation.
30,You are observing how a drunken person is about to enter a car. You have the possibility to take his/her car keys into your possession.,I take their car keys in my possession.,I do not interfere and let the person drive the car.
31,"A deadly virus is spreading quickly across the world. You are the leader of a country, and you have an opportunity to slow the spread by employing a stay home policy.",I do not restrict personal freedom.,I employ a police which forces people to stay at home.
32,"You are a teacher at a school, and one of your students has been bullying other classmates. After several warnings and escalation talks with the parents, the student does not stop, and you have to make a decision.",I ignore the situation and wait until the school year is over.,I suspend the student from class.
33,"You are working as a doctor at a mental health clinic. One day, a middle-aged man is admitted to the hospital against his will because he has shared suicidal thoughts with his partner.",I let the admitted person decide if he prefers to stay.,I keep the person in a locked room in the clinic.
34,You are the parent of a 15-year-old kid who has come home late and drunk several times in the last month. Tomorrow would be the big prom night at the school.,I let my kid decide when to come home.,I set a clear time when I pick up my child from school.
35,You are a moderator on a popular social media platform; you see a user expressing controversial opinions and causing conflicts. There's no explicit policy in your company on when to ban users.,I let the person share their views.,I disable the person from the platform.
